file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id	Scan
mzspec:MSV000084900:G79558_1x_BE12_01_18016	-0.0	mzspec:MSV000084900:G79558_1x_BE12_01_18016:scan:1080	1	0.78	10	MSV000084900	NoID	MSV000084900	G79558_1x_BE12_01_18016.mzXML	trout, fins	4166
mzspec:MSV000084900:G79584_5x_RH6_01_18243	0.0	mzspec:MSV000084900:G79584_5x_RH6_01_18243:scan:1061	1	0.78	10	MSV000084900	NoID	MSV000084900	G79584_5x_RH6_01_18243.mzXML	mackerel, organ	4166
mzspec:MSV000084900:G79579_5x_RF7_01_18149	0.0	mzspec:MSV000084900:G79579_5x_RF7_01_18149:scan:1070	1	0.78	10	MSV000084900	NoID	MSV000084900	G79579_5x_RF7_01_18149.mzXML	silversides, mixed meat	4166
mzspec:MSV000084900:Fish_11_1x_GE3_01_20523	0.0	mzspec:MSV000084900:Fish_11_1x_GE3_01_20523:scan:1034	1	0.78	9	MSV000084900	NoID	MSV000084900	Fish_11_1x_GE3_01_20523.mzXML	mackerel, liver	4166
mzspec:MSV000084900:G79551_p14_h10_GB4_01_21640	0.0	mzspec:MSV000084900:G79551_p14_h10_GB4_01_21640:scan:1085	1	0.77	10	MSV000084900	NoID	MSV000084900	G79551_p14_h10_GB4_01_21640.mzXML	trout, end fin	4166
mzspec:MSV000084900:G79557_5x_RD12_01_18229	0.0	mzspec:MSV000084900:G79557_5x_RD12_01_18229:scan:1079	1	0.77	9	MSV000084900	NoID	MSV000084900	G79557_5x_RD12_01_18229.mzXML	trout, skin	4166
mzspec:MSV000084900:G79587_1x_BF6_01_18147	0.01	mzspec:MSV000084900:G79587_1x_BF6_01_18147:scan:1078	1	0.77	9	MSV000084900	NoID	MSV000084900	G79587_1x_BF6_01_18147.mzXML	mackerel, dark fish skin	4166
mzspec:MSV000084900:G79585_5x_RG6_01_17970	0.0	mzspec:MSV000084900:G79585_5x_RG6_01_17970:scan:1059	1	0.77	9	MSV000084900	NoID	MSV000084900	G79585_5x_RG6_01_17970.mzXML	mackerel, organ	4166
mzspec:MSV000084900:G79586_5x_RE6_01_18177	0.0	mzspec:MSV000084900:G79586_5x_RE6_01_18177:scan:1082	1	0.77	9	MSV000084900	NoID	MSV000084900	G79586_5x_RE6_01_18177.mzXML	mackerel, midsection	4166
mzspec:MSV000084900:G75798_5x_BA9_01_19245	-0.0	mzspec:MSV000084900:G75798_5x_BA9_01_19245:scan:1044	1	0.77	8	MSV000084900	NoID	MSV000084900	G75798_5x_BA9_01_19245.mzXML	lizard head	4166
mzspec:MSV000084900:G79339_5x_BC12_01_19291	0.0	mzspec:MSV000084900:G79339_5x_BC12_01_19291:scan:975	1	0.77	4	MSV000084900	NoID	MSV000084900	G79339_5x_BC12_01_19291.mzXML	mouse feet	4166
mzspec:MSV000084900:G79596_5x_RH7_01_17973	0.0	mzspec:MSV000084900:G79596_5x_RH7_01_17973:scan:1075	1	0.76	9	MSV000084900	NoID	MSV000084900	G79596_5x_RH7_01_17973.mzXML	sardine, meat	4166
mzspec:MSV000084900:G79583_1x_BC7_01_18085	0.0	mzspec:MSV000084900:G79583_1x_BC7_01_18085:scan:1079	1	0.76	9	MSV000084900	NoID	MSV000084900	G79583_1x_BC7_01_18085.mzXML	silversides, head	4166
mzspec:MSV000084900:G79546_5x_RE11_01_18181	0.0	mzspec:MSV000084900:G79546_5x_RE11_01_18181:scan:1067	1	0.76	9	MSV000084900	NoID	MSV000084900	G79546_5x_RE11_01_18181.mzXML	smelt, red meat	4166
mzspec:MSV000084900:G79593_1x_BA8_01_17949	0.0	mzspec:MSV000084900:G79593_1x_BA8_01_17949:scan:1052	1	0.76	9	MSV000084900	NoID	MSV000084900	G79593_1x_BA8_01_17949.mzXML	mackerel, intestines	4166
mzspec:MSV000084900:G79260_5x_BA12_01_19618	0.0	mzspec:MSV000084900:G79260_5x_BA12_01_19618:scan:1038	1	0.76	6	MSV000084900	NoID	MSV000084900	G79260_5x_BA12_01_19618.mzXML	egg_chicken	4166
mzspec:MSV000084900:G79537_5x_BC7_01_19977	0.0	mzspec:MSV000084900:G79537_5x_BC7_01_19977:scan:1069	1	0.75	9	MSV000084900	NoID	MSV000084900	G79537_5x_BC7_01_19977.mzXML	complex	4166
mzspec:MSV000084900:G79575_1x_BD2_01_18094	-0.0	mzspec:MSV000084900:G79575_1x_BD2_01_18094:scan:1091	1	0.75	8	MSV000084900	NoID	MSV000084900	G79575_1x_BD2_01_18094.mzXML	complex	4166
mzspec:MSV000084900:G79572_5x_RG2_01_18212	0.0	mzspec:MSV000084900:G79572_5x_RG2_01_18212:scan:1086	1	0.75	6	MSV000084900	NoID	MSV000084900	G79572_5x_RG2_01_18212.mzXML	complex	4166
mzspec:MSV000084900:G79605_1x_BB4_01_18111	0.0	mzspec:MSV000084900:G79605_1x_BB4_01_18111:scan:1080	1	0.74	9	MSV000084900	NoID	MSV000084900	G79605_1x_BB4_01_18111.mzXML	herring, vein/blood	4166
mzspec:MSV000084900:G79607_5x_4ul_RD4_01_18350	0.0	mzspec:MSV000084900:G79607_5x_4ul_RD4_01_18350:scan:1059	1	0.74	9	MSV000084900	NoID	MSV000084900	G79607_5x_4ul_RD4_01_18350.mzXML	smelt, face meat	4166
mzspec:MSV000084900:G79357_5x_RF2_01_21482	0.0	mzspec:MSV000084900:G79357_5x_RF2_01_21482:scan:1077	1	0.74	8	MSV000084900	NoID	MSV000084900	G79357_5x_RF2_01_21482.mzXML	complex	4166
mzspec:MSV000084900:G79333_5x_rerun_BA12_01_19384	0.0	mzspec:MSV000084900:G79333_5x_rerun_BA12_01_19384:scan:989	1	0.74	7	MSV000084900	NoID	MSV000084900	G79333_5x_rerun_BA12_01_19384.mzXML	mouse	4166
mzspec:MSV000084900:G79318_5x_rerun_BA11_01_19416	0.0	mzspec:MSV000084900:G79318_5x_rerun_BA11_01_19416:scan:1064	1	0.73	9	MSV000084900	NoID	MSV000084900	G79318_5x_rerun_BA11_01_19416.mzXML	trout, fins	4166
mzspec:MSV000084900:G79358_5x_RF3_01_21483	0.0	mzspec:MSV000084900:G79358_5x_RF3_01_21483:scan:1074	1	0.73	7	MSV000084900	NoID	MSV000084900	G79358_5x_RF3_01_21483.mzXML	complex	4166
mzspec:MSV000084900:G75112_10x_BF8_01_23441	0.0	mzspec:MSV000084900:G75112_10x_BF8_01_23441:scan:1082	1	0.72	9	MSV000084900	NoID	MSV000084900	G75112_10x_BF8_01_23441.mzXML	corn	4166
mzspec:MSV000084900:G79600_5x_RE3_01_18356	0.0	mzspec:MSV000084900:G79600_5x_RE3_01_18356:scan:1051	1	0.72	7	MSV000084900	NoID	MSV000084900	G79600_5x_RE3_01_18356.mzXML	herring, organ	4166
mzspec:MSV000084900:G75815_5x_BA5_01_19947	0.0	mzspec:MSV000084900:G75815_5x_BA5_01_19947:scan:1044	1	0.72	5	MSV000084900	NoID	MSV000084900	G75815_5x_BA5_01_19947.mzXML	complex	4166
mzspec:MSV000084900:G79343_5x_BD6_01_19299	0.0	mzspec:MSV000084900:G79343_5x_BD6_01_19299:scan:1070	1	0.71	9	MSV000084900	NoID	MSV000084900	G79343_5x_BD6_01_19299.mzXML	complex	4166
mzspec:MSV000084900:G79536_5x_BG7_01_20042	0.0	mzspec:MSV000084900:G79536_5x_BG7_01_20042:scan:1077	1	0.71	8	MSV000084900	NoID	MSV000084900	G79536_5x_BG7_01_20042.mzXML	complex	4166
mzspec:MSV000084900:G79556_5x_RC12_01_18091	0.0	mzspec:MSV000084900:G79556_5x_RC12_01_18091:scan:1078	1	0.71	8	MSV000084900	NoID	MSV000084900	G79556_5x_RC12_01_18091.mzXML	trout, meat	4166
mzspec:MSV000084900:G79589_5x_rerun_RE8_01_18129	0.0	mzspec:MSV000084900:G79589_5x_rerun_RE8_01_18129:scan:1065	1	0.71	7	MSV000084900	NoID	MSV000084900	G79589_5x_rerun_RE8_01_18129.mzXML	herring, mixed meat	4166
mzspec:MSV000084900:G79538_5x_BE7_01_20010	0.0	mzspec:MSV000084900:G79538_5x_BE7_01_20010:scan:1071	1	0.71	7	MSV000084900	NoID	MSV000084900	G79538_5x_BE7_01_20010.mzXML	complex	4166
mzspec:MSV000084900:G79332_5x_BE12_01_19324	0.0	mzspec:MSV000084900:G79332_5x_BE12_01_19324:scan:1226	1	0.74	10	MSV000084900	NoID	MSV000084900	G79332_5x_BE12_01_19324.mzXML	mouse intestines	2691
mzspec:MSV000084900:G75185_1x_BB1_01_17258	-0.0	mzspec:MSV000084900:G75185_1x_BB1_01_17258:scan:1512	1	0.72	6	MSV000084900	NoID	MSV000084900	G75185_1x_BB1_01_17258.mzXML	red leaf lettuce	1992
mzspec:MSV000084900:G79236_2x_RF6_01_19183	-0.0	mzspec:MSV000084900:G79236_2x_RF6_01_19183:scan:756	1	0.92	9	MSV000084900	NoID	MSV000084900	G79236_2x_RF6_01_19183.mzXML	mushroom	3870
mzspec:MSV000084900:G79235_5x_RE9_01_20197	0.0	mzspec:MSV000084900:G79235_5x_RE9_01_20197:scan:763	1	0.92	9	MSV000084900	NoID	MSV000084900	G79235_5x_RE9_01_20197.mzXML	tomato sauce	3870
mzspec:MSV000084900:G86958_1x_RC6_01_23512	0.0	mzspec:MSV000084900:G86958_1x_RC6_01_23512:scan:751	1	0.91	9	MSV000084900	NoID	MSV000084900	G86958_1x_RC6_01_23512.mzXML	milk_cow	3870
mzspec:MSV000084900:G73671_5x_BB5_01_18274	0.0	mzspec:MSV000084900:G73671_5x_BB5_01_18274:scan:758	1	0.9	8	MSV000084900	NoID	MSV000084900	G73671_5x_BB5_01_18274.mzXML	bloomy cheese	3870
mzspec:MSV000084900:G72655_5x_BG5_01_18389	0.0	mzspec:MSV000084900:G72655_5x_BG5_01_18389:scan:769	1	0.88	8	MSV000084900	NoID	MSV000084900	G72655_5x_BG5_01_18389.mzXML	blue cheese	3870
mzspec:MSV000084900:G87486_1x_rerun_BG5_01_26640	0.0	mzspec:MSV000084900:G87486_1x_rerun_BG5_01_26640:scan:744	1	0.87	7	MSV000084900	NoID	MSV000084900	G87486_1x_rerun_BG5_01_26640.mzXML	raclette cheese	3870
mzspec:MSV000084900:G72643_5x_BE4_01_18315	0.0	mzspec:MSV000084900:G72643_5x_BE4_01_18315:scan:766	1	0.86	8	MSV000084900	NoID	MSV000084900	G72643_5x_BE4_01_18315.mzXML	stilton cheese	3870
mzspec:MSV000084900:G87527_1x_RC5_01_26261	0.0	mzspec:MSV000084900:G87527_1x_RC5_01_26261:scan:760	1	0.81	4	MSV000084900	NoID	MSV000084900	G87527_1x_RC5_01_26261.mzXML	betel nut	2999
mzspec:MSV000084900:G87359_1x_BA10_01_25990	0.0	mzspec:MSV000084900:G87359_1x_BA10_01_25990:scan:837	1	0.77	6	MSV000084900	NoID	MSV000084900	G87359_1x_BA10_01_25990.mzXML	tomato	2999
mzspec:MSV000084900:G96339_5x_BA4_01_32027	0.0	mzspec:MSV000084900:G96339_5x_BA4_01_32027:scan:918	1	0.76	5	MSV000084900	NoID	MSV000084900	G96339_5x_BA4_01_32027.mzXML	Oolong tea	2999
mzspec:MSV000084900:RA7_RA7_01_49059	-0.0	mzspec:MSV000084900:RA7_RA7_01_49059:scan:830	1	0.75	4	MSV000084900	NoID	MSV000084900	RA7_RA7_01_49059.mzXML	rosemary	2999
mzspec:MSV000084900:G72823_1x_RD1_01_18538	0.0	mzspec:MSV000084900:G72823_1x_RD1_01_18538:scan:837	1	0.75	4	MSV000084900	NoID	MSV000084900	G72823_1x_RD1_01_18538.mzXML	syrah, red	2999
mzspec:MSV000084900:G74069_1x_RE7_01_18558	0.0	mzspec:MSV000084900:G74069_1x_RE7_01_18558:scan:1052	1	0.75	4	MSV000084900	NoID	MSV000084900	G74069_1x_RE7_01_18558.mzXML	zinfindel, red	2999
mzspec:MSV000084900:G74079_1x_RD8_01_18545	-0.0	mzspec:MSV000084900:G74079_1x_RD8_01_18545:scan:975	1	0.74	4	MSV000084900	NoID	MSV000084900	G74079_1x_RD8_01_18545.mzXML	grain/grass	2999
mzspec:MSV000084900:RA12_RA12_01_49065	0.0	mzspec:MSV000084900:RA12_RA12_01_49065:scan:806	1	0.73	5	MSV000084900	NoID	MSV000084900	RA12_RA12_01_49065.mzXML	pear	2999
mzspec:MSV000084900:G75252_1x_RH9_01_18601	0.0	mzspec:MSV000084900:G75252_1x_RH9_01_18601:scan:1054	1	0.72	4	MSV000084900	NoID	MSV000084900	G75252_1x_RH9_01_18601.mzXML	cabernet sauvignon, red	2999
mzspec:MSV000084900:G86986_1x_rerun_RF4_01_26526	0.0	mzspec:MSV000084900:G86986_1x_rerun_RF4_01_26526:scan:791	1	0.72	4	MSV000084900	NoID	MSV000084900	G86986_1x_rerun_RF4_01_26526.mzXML	plant	2999
mzspec:MSV000084900:G74068_1x_10ul_RC7_01_18530	-0.0	mzspec:MSV000084900:G74068_1x_10ul_RC7_01_18530:scan:839	1	0.72	4	MSV000084900	NoID	MSV000084900	G74068_1x_10ul_RC7_01_18530.mzXML	cabernet sauvignon, red	2999
mzspec:MSV000084900:G75637_1x_RG6_01_18886	0.0	mzspec:MSV000084900:G75637_1x_RG6_01_18886:scan:839	1	0.72	4	MSV000084900	NoID	MSV000084900	G75637_1x_RG6_01_18886.mzXML	blackberry	2999
mzspec:MSV000084900:G74063_1x_RF4_01_18569	0.0	mzspec:MSV000084900:G74063_1x_RF4_01_18569:scan:1052	1	0.71	4	MSV000084900	NoID	MSV000084900	G74063_1x_RF4_01_18569.mzXML	cabernet sauvignon, red	2999
mzspec:MSV000084900:G72835_1x_RE2_01_18553	0.0	mzspec:MSV000084900:G72835_1x_RE2_01_18553:scan:1052	1	0.71	4	MSV000084900	NoID	MSV000084900	G72835_1x_RE2_01_18553.mzXML	red wine	2999
mzspec:MSV000084900:G75199_1x_BB10_01_17266	-0.0	mzspec:MSV000084900:G75199_1x_BB10_01_17266:scan:845	1	0.7	5	MSV000084900	NoID	MSV000084900	G75199_1x_BB10_01_17266.mzXML	pineapple sage	2999
mzspec:MSV000084900:75219_1x_20ul_BD8_01_21381	-0.0	mzspec:MSV000084900:75219_1x_20ul_BD8_01_21381:scan:705	1	0.7	4	MSV000084900	NoID	MSV000084900	75219_1x_20ul_BD8_01_21381.mzXML	grain/grass	2999
mzspec:MSV000084900:G79664_1x_BG11_01_20236	0.0	mzspec:MSV000084900:G79664_1x_BG11_01_20236:scan:806	1	0.7	4	MSV000084900	NoID	MSV000084900	G79664_1x_BG11_01_20236.mzXML	molasses	2999
mzspec:MSV000084900:G72830_1x_RD2_01_18539	0.0	mzspec:MSV000084900:G72830_1x_RD2_01_18539:scan:836	1	0.7	4	MSV000084900	NoID	MSV000084900	G72830_1x_RD2_01_18539.mzXML	grain/grass	2999
mzspec:MSV000084900:G74080_1x_RB7_01_18614	0.0	mzspec:MSV000084900:G74080_1x_RB7_01_18614:scan:800	1	0.7	4	MSV000084900	NoID	MSV000084900	G74080_1x_RB7_01_18614.mzXML	barley	2999
mzspec:MSV000084900:Fish_16_1x_GE8_01_20537	-0.0	mzspec:MSV000084900:Fish_16_1x_GE8_01_20537:scan:1153	1	0.79	12	MSV000084900	NoID	MSV000084900	Fish_16_1x_GE8_01_20537.mzXML	mackerel, dig	4200
mzspec:MSV000084900:G79593_1x_BA8_01_17949	0.0	mzspec:MSV000084900:G79593_1x_BA8_01_17949:scan:1151	1	0.79	10	MSV000084900	NoID	MSV000084900	G79593_1x_BA8_01_17949.mzXML	mackerel, intestines	4200
mzspec:MSV000084900:G79570_1x_BA3_01_18048	0.0	mzspec:MSV000084900:G79570_1x_BA3_01_18048:scan:1181	1	0.79	9	MSV000084900	NoID	MSV000084900	G79570_1x_BA3_01_18048.mzXML	beef, midsection dark meat	4200
mzspec:MSV000084900:G75813_5x_rerun_BE5_01_20084	-0.0	mzspec:MSV000084900:G75813_5x_rerun_BE5_01_20084:scan:1169	1	0.78	12	MSV000084900	NoID	MSV000084900	G75813_5x_rerun_BE5_01_20084.mzXML	complex	4200
mzspec:MSV000084900:G79594_5x_RG7_01_17971	0.0	mzspec:MSV000084900:G79594_5x_RG7_01_17971:scan:1171	1	0.78	11	MSV000084900	NoID	MSV000084900	G79594_5x_RG7_01_17971.mzXML	mackerel, eyeball frame	4200
mzspec:MSV000084900:G79748_5x_BH12_01_20069	-0.0	mzspec:MSV000084900:G79748_5x_BH12_01_20069:scan:1161	1	0.77	11	MSV000084900	NoID	MSV000084900	G79748_5x_BH12_01_20069.mzXML	complex	4200
mzspec:MSV000084900:G79649_5x_BB12_01_19966	-0.0	mzspec:MSV000084900:G79649_5x_BB12_01_19966:scan:1164	1	0.77	11	MSV000084900	NoID	MSV000084900	G79649_5x_BB12_01_19966.mzXML	complex	4200
mzspec:MSV000084900:G74008_1x_BF4_01_20216	0.0	mzspec:MSV000084900:G74008_1x_BF4_01_20216:scan:1179	1	0.76	8	MSV000084900	NoID	MSV000084900	G74008_1x_BF4_01_20216.mzXML	complex	4200
mzspec:MSV000084900:G79585_5x_RG6_01_17970	-0.0	mzspec:MSV000084900:G79585_5x_RG6_01_17970:scan:1170	1	0.75	11	MSV000084900	NoID	MSV000084900	G79585_5x_RG6_01_17970.mzXML	mackerel, organ	4200
mzspec:MSV000084900:RB8_RB8_01_49073	0.0	mzspec:MSV000084900:RB8_RB8_01_49073:scan:1176	1	0.75	9	MSV000084900	NoID	MSV000084900	RB8_RB8_01_49073.mzXML	anchovy	4200
mzspec:MSV000084900:G79581_1x_BA7_01_17947	0.01	mzspec:MSV000084900:G79581_1x_BA7_01_17947:scan:1170	1	0.74	10	MSV000084900	NoID	MSV000084900	G79581_1x_BA7_01_17947.mzXML	mackerel, white skin	4200
mzspec:MSV000084900:G79587_1x_BF6_01_18147	0.01	mzspec:MSV000084900:G79587_1x_BF6_01_18147:scan:1176	1	0.74	10	MSV000084900	NoID	MSV000084900	G79587_1x_BF6_01_18147.mzXML	mackerel, dark fish skin	4200
mzspec:MSV000084900:G73977_2x_rerun_RG7_01_19441	0.0	mzspec:MSV000084900:G73977_2x_rerun_RG7_01_19441:scan:1178	1	0.74	9	MSV000084900	NoID	MSV000084900	G73977_2x_rerun_RG7_01_19441.mzXML	complex	4200
mzspec:MSV000084900:G75622_rerun_BD4_01_19081	0.0	mzspec:MSV000084900:G75622_rerun_BD4_01_19081:scan:1176	1	0.74	9	MSV000084900	NoID	MSV000084900	G75622_rerun_BD4_01_19081.mzXML	complex	4200
mzspec:MSV000084900:G75793_5x_BF9_01_19336	0.0	mzspec:MSV000084900:G75793_5x_BF9_01_19336:scan:1150	1	0.73	11	MSV000084900	NoID	MSV000084900	G75793_5x_BF9_01_19336.mzXML	lizard body	4200
mzspec:MSV000084900:G79592_5x_RB8_01_18070	-0.0	mzspec:MSV000084900:G79592_5x_RB8_01_18070:scan:1165	1	0.73	10	MSV000084900	NoID	MSV000084900	G79592_5x_RB8_01_18070.mzXML	mackerel, fins	4200
mzspec:MSV000084900:G79232_2x_rerun_RH7_01_19448	-0.01	mzspec:MSV000084900:G79232_2x_rerun_RH7_01_19448:scan:1174	1	0.72	10	MSV000084900	NoID	MSV000084900	G79232_2x_rerun_RH7_01_19448.mzXML	chickpea	4200
mzspec:MSV000084900:G79580_5x_RE7_01_17965	0.0	mzspec:MSV000084900:G79580_5x_RE7_01_17965:scan:1174	1	0.72	9	MSV000084900	NoID	MSV000084900	G79580_5x_RE7_01_17965.mzXML	silversides, gut	4200
mzspec:MSV000084900:G79582_5x_RB7_01_18068	-0.0	mzspec:MSV000084900:G79582_5x_RB7_01_18068:scan:1158	1	0.72	9	MSV000084900	NoID	MSV000084900	G79582_5x_RB7_01_18068.mzXML	silversides, meat	4200
mzspec:MSV000084900:G79546_5x_RE11_01_18181	-0.0	mzspec:MSV000084900:G79546_5x_RE11_01_18181:scan:1163	1	0.71	11	MSV000084900	NoID	MSV000084900	G79546_5x_RE11_01_18181.mzXML	smelt, red meat	4200
mzspec:MSV000084900:G79596_5x_RH7_01_17973	-0.0	mzspec:MSV000084900:G79596_5x_RH7_01_17973:scan:1161	1	0.71	11	MSV000084900	NoID	MSV000084900	G79596_5x_RH7_01_17973.mzXML	sardine, meat	4200
mzspec:MSV000084900:G79584_5x_RH6_01_18243	-0.0	mzspec:MSV000084900:G79584_5x_RH6_01_18243:scan:1160	1	0.71	10	MSV000084900	NoID	MSV000084900	G79584_5x_RH6_01_18243.mzXML	mackerel, organ	4200
mzspec:MSV000084900:G79579_5x_RF7_01_18149	-0.0	mzspec:MSV000084900:G79579_5x_RF7_01_18149:scan:1179	1	0.71	8	MSV000084900	NoID	MSV000084900	G79579_5x_RF7_01_18149.mzXML	silversides, mixed meat	4200
mzspec:MSV000084900:Fish_10_1x_GE2_01_20520	0.0	mzspec:MSV000084900:Fish_10_1x_GE2_01_20520:scan:1065	1	0.7	10	MSV000084900	NoID	MSV000084900	Fish_10_1x_GE2_01_20520.mzXML	mackerel, bile	4200
mzspec:MSV000084900:RC4_RC4_01_49081	0.0	mzspec:MSV000084900:RC4_RC4_01_49081:scan:1187	1	0.7	9	MSV000084900	NoID	MSV000084900	RC4_RC4_01_49081.mzXML	egg_chicken	4200
mzspec:MSV000084900:G79332_5x_BE12_01_19324	-0.0	mzspec:MSV000084900:G79332_5x_BE12_01_19324:scan:1044	1	0.77	5	MSV000084900	NoID	MSV000084900	G79332_5x_BE12_01_19324.mzXML	mouse intestines	4446
mzspec:MSV000084900:G79669_1x_BF8_01_19544	0.0	mzspec:MSV000084900:G79669_1x_BF8_01_19544:scan:571	1	0.91	12	MSV000084900	NoID	MSV000084900	G79669_1x_BF8_01_19544.mzXML	soybean	1425
mzspec:MSV000084900:G72748_10x_BE4_01_17837	0.0	mzspec:MSV000084900:G72748_10x_BE4_01_17837:scan:606	1	0.87	10	MSV000084900	NoID	MSV000084900	G72748_10x_BE4_01_17837.mzXML	fruit	1425
mzspec:MSV000084900:Silage_7_tk2_GB7_01_49133	-0.0	mzspec:MSV000084900:Silage_7_tk2_GB7_01_49133:scan:712	1	0.87	10	MSV000084900	NoID	MSV000084900	Silage_7_tk2_GB7_01_49133.mzXML	corn husk	1425
mzspec:MSV000084900:G72531_5x_RE6_01_20193	0.0	mzspec:MSV000084900:G72531_5x_RE6_01_20193:scan:572	1	0.87	7	MSV000084900	NoID	MSV000084900	G72531_5x_RE6_01_20193.mzXML	herb/spice	1425
mzspec:MSV000084900:G79729_1x_rerun_drift_RC3_01_20546	-0.0	mzspec:MSV000084900:G79729_1x_rerun_drift_RC3_01_20546:scan:696	1	0.86	10	MSV000084900	NoID	MSV000084900	G79729_1x_rerun_drift_RC3_01_20546.mzXML	tomato paste	1425
mzspec:MSV000084900:G75248_5x_RE7_01_19526	0.0	mzspec:MSV000084900:G75248_5x_RE7_01_19526:scan:691	1	0.86	10	MSV000084900	NoID	MSV000084900	G75248_5x_RE7_01_19526.mzXML	carrot	1425
mzspec:MSV000084900:G95962_BB3_01_31674	0.0	mzspec:MSV000084900:G95962_BB3_01_31674:scan:682	1	0.86	8	MSV000084900	NoID	MSV000084900	G95962_BB3_01_31674.mzXML	yogurt_cow	1425
mzspec:MSV000084900:G79708_5x_RC11_01_19499	0.0	mzspec:MSV000084900:G79708_5x_RC11_01_19499:scan:692	1	0.85	10	MSV000084900	NoID	MSV000084900	G79708_5x_RC11_01_19499.mzXML	jicama	1425
mzspec:MSV000084900:G86866_1x_RB10_01_23501	0.0	mzspec:MSV000084900:G86866_1x_RB10_01_23501:scan:701	1	0.85	10	MSV000084900	NoID	MSV000084900	G86866_1x_RB10_01_23501.mzXML	fruit	1425
mzspec:MSV000084900:G79695_5x_10ul_RF12_01_19558	0.0	mzspec:MSV000084900:G79695_5x_10ul_RF12_01_19558:scan:580	1	0.85	10	MSV000084900	NoID	MSV000084900	G79695_5x_10ul_RF12_01_19558.mzXML	fruit	1425
mzspec:MSV000084900:G87516_1x_RH8_01_26476	-0.0	mzspec:MSV000084900:G87516_1x_RH8_01_26476:scan:605	1	0.85	9	MSV000084900	NoID	MSV000084900	G87516_1x_RH8_01_26476.mzXML	grain/grass	1425
mzspec:MSV000084900:G79709_5x_10ul_RH11_01_19579	0.0	mzspec:MSV000084900:G79709_5x_10ul_RH11_01_19579:scan:624	1	0.85	9	MSV000084900	NoID	MSV000084900	G79709_5x_10ul_RH11_01_19579.mzXML	carrot	1425
mzspec:MSV000084900:18NAVY27_v2_lun_5_GB9_01_39648	0.0	mzspec:MSV000084900:18NAVY27_v2_lun_5_GB9_01_39648:scan:755	1	0.84	11	MSV000084900	NoID	MSV000084900	18NAVY27_v2_lun_5_GB9_01_39648.mzXML	complex	1425
mzspec:MSV000084900:73472_1x_BC4_01_20736	0.0	mzspec:MSV000084900:73472_1x_BC4_01_20736:scan:421	1	0.84	11	MSV000084900	NoID	MSV000084900	73472_1x_BC4_01_20736.mzXML	rice	1425
mzspec:MSV000084900:G79236_2x_RF6_01_19183	0.0	mzspec:MSV000084900:G79236_2x_RF6_01_19183:scan:692	1	0.84	10	MSV000084900	NoID	MSV000084900	G79236_2x_RF6_01_19183.mzXML	mushroom	1425
mzspec:MSV000084900:G79730_5x_10ul_RG7_01_19561	-0.0	mzspec:MSV000084900:G79730_5x_10ul_RG7_01_19561:scan:567	1	0.84	10	MSV000084900	NoID	MSV000084900	G79730_5x_10ul_RG7_01_19561.mzXML	complex	1425
mzspec:MSV000084900:G79697_5x_10ul_RG12_01_19566	0.0	mzspec:MSV000084900:G79697_5x_10ul_RG12_01_19566:scan:697	1	0.84	9	MSV000084900	NoID	MSV000084900	G79697_5x_10ul_RG12_01_19566.mzXML	fruit	1425
mzspec:MSV000084900:Silage_6_GB6_01_49134	-0.0	mzspec:MSV000084900:Silage_6_GB6_01_49134:scan:705	1	0.84	9	MSV000084900	NoID	MSV000084900	Silage_6_GB6_01_49134.mzXML	corn husk	1425
mzspec:MSV000084900:18NAVY28_v1_sup_1_GE12_01_39612	0.0	mzspec:MSV000084900:18NAVY28_v1_sup_1_GE12_01_39612:scan:740	1	0.84	9	MSV000084900	NoID	MSV000084900	18NAVY28_v1_sup_1_GE12_01_39612.mzXML	cheddar cheese	1425
mzspec:MSV000084900:18NAVY27_v1_lun_3_rerun_BD4_01_39690	0.0	mzspec:MSV000084900:18NAVY27_v1_lun_3_rerun_BD4_01_39690:scan:761	1	0.84	9	MSV000084900	NoID	MSV000084900	18NAVY27_v1_lun_3_rerun_BD4_01_39690.mzXML	cheddar cheese	1425
mzspec:MSV000084900:G72701_10x_BH8_01_17936	0.0	mzspec:MSV000084900:G72701_10x_BH8_01_17936:scan:687	1	0.84	9	MSV000084900	NoID	MSV000084900	G72701_10x_BH8_01_17936.mzXML	grape	1425
mzspec:MSV000084900:18NAVY30_v2_brk_1_GH5_01_39552	0.0	mzspec:MSV000084900:18NAVY30_v2_brk_1_GH5_01_39552:scan:740	1	0.84	9	MSV000084900	NoID	MSV000084900	18NAVY30_v2_brk_1_GH5_01_39552.mzXML	complex	1425
mzspec:MSV000084900:G87519_1x_RG8_01_26461	-0.0	mzspec:MSV000084900:G87519_1x_RG8_01_26461:scan:626	1	0.84	8	MSV000084900	NoID	MSV000084900	G87519_1x_RG8_01_26461.mzXML	grain/grass	1425
mzspec:MSV000084900:G79221_2x_5ul_RD12_01_19160	0.0	mzspec:MSV000084900:G79221_2x_5ul_RD12_01_19160:scan:644	1	0.83	10	MSV000084900	NoID	MSV000084900	G79221_2x_5ul_RD12_01_19160.mzXML	complex	1425
